county,precipitation
Aitkin County,1427.5470588235294
Becker County,1498.213043478261
Beltrami County,1038.7742909640315
Benton County,1523.277789700642
Big Stone County,1576.7400000000002
Blue Earth County,1803.45
Brown County,1771.8235294117646
Carlton County,1287.608823529412
Carver County,2067.276470588235
Cass County,1371.453431372549
Chippewa County,1884.620588235294
Chisago County,1480.270588235294
Clay County,1568.9088235294118
Clearwater County,1045.6773103243588
Cook County,948.5470588235294
Cottonwood County,1691.8705882352942
Crow Wing County,1542.4274509803922
Dakota County,1869.079411764706
Dodge County,1720.723529411765
Douglas County,1689.4160000000002
Faribault County,1988.8588235294117
Fillmore County,1712.4076923076923
Freeborn County,1629.1538461538462
Goodhue County,1761.7941176470588
Grant County,1174.3625
Hennepin County,2097.3764705882354
Houston County,1954.776470588235
Hubbard County,1454.763043478261
Isanti County,1785.9375
Itasca County,1145.4764705882353
Jackson County,1769.0500000000002
Kanabec County,1402.2307692307693
Kandiyohi County,1689.6666666666667
Kittson County,1191.770588235294
Koochiching County,1049.2843660451879
Lac qui Parle County,1871.0470588235296
Lake County,1195.1588235294118
Lake of the Woods County,1198.5282608695652
Le Sueur County,1985.965625
Lincoln County,1993.61568627451
Lyon County,1669.6588235294116
Mahnomen County,1386.4558823529412
Marshall County,1246.820588235294
Martin County,1761.55625
McLeod County,1881.455882352941
Meeker County,1726.8294117647058
Mille Lacs County,1829.3117647058823
Morrison County,1448.33125
Mower County,1872.6647058823528
Murray County,1868.4911764705882
Nicollet County,1803.45
Nobles County,1723.3000000000002
Norman County,1490.7882352941176
Olmsted County,1881.7639392666927
Otter Tail County,1461.18
Pine County,1544.7441176470588
Pipestone County,1656.7714285714285
Polk County,1246.594117647059
Pope County,1542.3411764705882
Ramsey County,2104.5775
Red Lake County,1246.820588235294
Renville County,1582.0125
Rice County,1988.8588235294117
Rock County,1891.9352941176471
Saint Louis County,780.2096529060707
Scott County,2082.6882352941175
Sherburne County,1543.7668810661037
Sibley County,1907.0176470588235
Stearns County,1523.277789700642
Steele County,1860.5133333333333
Stevens County,1663.1083333333333
Swift County,1625.5000000000002
Todd County,1654.8836666666666
Traverse County,1517.7285714285715
Wabasha County,2056.5764705882357
Wadena County,1439.743115942029
Waseca County,1746.6533333333334
Washington County,2104.5775
Watonwan County,1848.5666666666668
Wilkin County,1461.18
Winona County,1920.5733333333335
Wright County,1773.3117647058823
Yellow Medicine County,1757.405882352941
