county,avg_temp
Aitkin County,6.726642603256703
Becker County,6.896767684771416
Beltrami County,4.841308074565498
Benton County,6.865580158115116
Big Stone County,8.37897058228329
Blue Earth County,9.423946059870417
Brown County,8.744269889101846
Carlton County,5.971719839829893
Carver County,9.494689955649623
Cass County,6.314584054913696
Chippewa County,8.924273623329574
Chisago County,7.479053863983226
Clay County,7.250136662547495
Clearwater County,4.853669863762919
Cook County,4.252127042477839
Cottonwood County,8.848029527945831
Crow Wing County,6.968752549309464
Dakota County,8.839910687906825
Dodge County,8.520669616587435
Douglas County,7.9081773541971225
Faribault County,9.530042613166433
Fillmore County,8.428742374632572
Freeborn County,9.16675276156841
Goodhue County,8.910614137403211
Grant County,6.104421553968791
Hennepin County,9.761078467176333
Houston County,9.264220142238548
Hubbard County,6.75801851016472
Isanti County,9.042833074063523
Itasca County,5.763298510654336
Jackson County,8.727553288357248
Kanabec County,6.806421193487635
Kandiyohi County,8.560684066888912
Kittson County,5.85257775773451
Koochiching County,4.7670846105760845
Lac qui Parle County,9.272542194666741
Lake County,5.576992356672316
Lake of the Woods County,5.5114623222978
Le Sueur County,9.347755721336522
Lincoln County,9.18930139137621
Lyon County,8.837411761886152
Mahnomen County,6.439906667603394
Marshall County,6.05378682985296
Martin County,9.436468329681324
McLeod County,8.841548960585667
Meeker County,8.612800309883923
Mille Lacs County,8.570371391686571
Morrison County,7.312248082626538
Mower County,9.422010154826138
Murray County,9.135662225166623
Nicollet County,9.423946059870417
Nobles County,9.181161827712817
Norman County,6.895426310306254
Olmsted County,8.51554249382868
Otter Tail County,7.281095783173438
Pine County,7.279130678845618
Pipestone County,8.674924314183496
Polk County,6.051324298863554
Pope County,7.642973622927184
Ramsey County,10.196539543055646
Red Lake County,6.05378682985296
Renville County,7.838985290780364
Rice County,9.530042613166433
Rock County,9.271411368881317
Saint Louis County,3.511682291421371
Scott County,9.820691942600265
Sherburne County,6.95978613564437
Sibley County,8.91729045718263
Stearns County,6.865580158115116
Steele County,9.256849989046206
Stevens County,8.630521002379327
Swift County,8.374072896226876
Todd County,7.665210772049501
Traverse County,7.878379439075011
Wabasha County,9.694733587584395
Wadena County,6.63241216589654
Waseca County,8.915790317154624
Washington County,10.196539543055646
Watonwan County,9.32380530487532
Wilkin County,7.281095783173438
Winona County,9.709740271468092
Wright County,8.711881885973181
Yellow Medicine County,8.946116274867894
